"interest_name","category","priority_level","relevance_mapping","status","related_to","discovered_from","date_added","date_updated","notes"
"Data-driven verification","application","core","definitely","confirmed","Black-box robotic systems, black-box controllers","manual","2026-03-30","","Central thread of current research"
"Verification of visuomotor policies","application","high","definitely","confirmed","Conformal prediction, diffusion/flow-matching, active learning","manual","2026-03-30","","Next research direction — extending verification to vision-based policies"
"Safe & robust robot control","application","key","probably","confirmed","Verification work extension","manual","2026-03-30","2026-04-05","Ensuring controllers behave safely under uncertainty"
"Controller composition","application","high","probably","confirmed","Verification work extension","manual","2026-03-30","","Composing and verifying composed systems"
"Generalist policies","application","medium","probably","confirmed","Diffusion/flow-matching methods","manual","2026-03-30","2026-04-01","Broad multi-task robot policies"
"Imitation learning","application","high","probably","confirmed","Generative methods (diffusion, flow matching)","manual","2026-03-30","","Learning from demonstrations"
"Reinforcement learning","application","high","probably","confirmed","Complementary to imitation learning","manual","2026-03-30","","Policy learning through reward signals"
"Sampling-based motion planning","application","high","probably","confirmed","RRT, PRM, variants","manual","2026-03-30","2026-04-01","Past research area — still slightly interested"
"Diffusion models","method","key","definitely","confirmed","Verification, imitation learning, generalist policies","manual","2026-03-30","","Generative method used across multiple interest areas"
"Flow matching","method","key","definitely","confirmed","Verification, imitation learning, generalist policies","manual","2026-03-30","2026-04-01","Generative method used across multiple interest areas"
"Conformal prediction","method","key","probably","confirmed","Distribution-free uncertainty quantification","manual","2026-03-30","2026-04-01","Key method interest for verification and safety"
"Active learning","method","key","probably","confirmed","Data-driven verification — reducing sample complexity","manual","2026-03-30","2026-04-01","Efficient data collection / query strategies"
"Vision-Language-Action models (VLAs)","application","medium","probably","confirmed","Generalist policies, visuomotor policies, imitation learning","manual","2026-03-30","2026-03-30","Interesting as a policy class but not core research. Upgrade to 'definitely' only for radical/paradigm-shifting VLA papers (e.g. new architectures with major capability jumps, novel verification methods for VLAs)"
"Hamilton-Jacobi reachability","method","high","probably","confirmed","Data-driven verification, Safe & robust robot control","Contingency-Aware Planning via Certified Neural HJ Reachability (2603.17022); Formal Methods for Robotic Manipulation survey (hal-05533865)","2026-03-31","2026-04-01","Hamilton-Jacobi reachability provides formal safety guarantees by solving HJ PDEs to compute safe sets. Appeared in multiple papers this week including a neural operator approach to accelerate HJ computation. Closely related to data-driven verification and formal safety methods."
"Signal Temporal Logic (STL)","method","medium","mildly","confirmed","Data-driven verification, Safe & robust robot control","A General Framework for Robust Quantitative Semantics of STL (chen2026general); STLts-Div (2603.17293); Formal Methods for Robotic Manipulation survey","2026-03-31","2026-03-31","STL is a widely used specification language for cyber-physical systems and robotics. Three papers this week deal with STL quantitative semantics and trace synthesis. Most relevant as a specification tool for verification tasks; may not be core interest but worth monitoring."
"Control Barrier Functions (CBFs)","method","high","probably","confirmed","Data-driven verification, Safe & robust robot control, Verification of visuomotor policies","Topological Obstructions to CBFs (2603.18422); Integral CBFs with Input Delay (2603.24566); Enforcing Mixed Constraints with Backup CBFs (2603.17097); Constricting Tubes CBF (2603.17003); Safety Guarantees via Constrained RL (IEEE 11430591)","2026-03-31","2026-04-01","CBFs are a dominant method for safety-critical control and appear in 6+ papers this week across CBF theory, extensions to input delay, mixed constraints, and neural controllers. Very closely related to core interest in data-driven verification and safe robot control. May warrant explicit tracking as a method."
"World models for robotics","method","high","definitely","confirmed","Generalist policies, imitation learning, reinforcement learning","DreamDojo, Ctrl-World, RoboCasa365, MetaWorld papers","2026-03-31","2026-04-01","Generative world models increasingly used for policy evaluation, improvement, and planning. Relevant to verification if used for safety analysis."
"Latent-space safety analysis","method","core","definitely","confirmed","Data-driven verification, verification of visuomotor policies, HJ reachability","Latent Safety Filters (RSS 2025), V-MORALS, hierarchical reachability verification papers","2026-03-31","2026-04-01","Performing reachability and safety analysis in learned latent spaces rather than raw state spaces. Directly relevant to verifying vision-based and high-dimensional systems."
"VLA reasoning and chain-of-thought","application","medium","mildly","confirmed","Vision-Language-Action models, generalist policies","VLA-Thinker, HALO, Altered Thoughts papers","2026-03-31","2026-04-01","Growing trend of adding explicit reasoning (textual or multimodal CoT) to VLA models. May become relevant to verification if reasoning traces can be formally checked."
"Adversarial robustness of robot policies","application","high","probably","confirmed","Data-driven verification, safe robot control, VLA models","SABER (black-box VLA attacks), Altered Thoughts (CoT vulnerabilities), Diffusion Policy Attacker papers","2026-03-31","2026-04-01","Testing and ensuring robustness of learned robot policies against adversarial perturbations. Closely related to verification - identifying failure modes."
"Koopman operator methods","method","medium","probably","suggested","Data-driven verification, Safe & robust robot control","Conformal Koopman for Embedded Nonlinear Control (2603.21580); Data-Driven Reachability of Nonlinear Lipschitz Systems via Koopman (2604.00150)","2026-04-11","","Koopman operator lifting recurs as a tool for both data-driven reachability and statistically robust nonlinear control. Two papers this week use it explicitly. May warrant explicit tracking as a method given closeness to data-driven verification."
"Runtime verification of learned policies","application","high","probably","suggested","Verification of visuomotor policies, Vision-Language-Action models (VLAs), Safe & robust robot control","Speculative Verification for VLA (2604.02965); Causal Scene Narration with Runtime Safety Supervision for VLA Driving (2604.01723); Dreaming the Unseen (2603.21017)","2026-04-11","","Multiple papers this week add runtime verification or Simplex-style fallback supervision around learned (VLA, diffusion) policies. Distinct from offline verification — focuses on online checking and arbitration. Highly relevant to data-driven verification of black-box controllers."
"Risk-aware control (CVaR/risk measures)","method","medium","probably","suggested","Safe & robust robot control, Conformal prediction, Control Barrier Functions (CBFs)","RL for Risk Adaptation via Differentiable CVaR Barrier Functions (2605.21257); Differentiable Optimization Layered Safety-Critical Control for Risk-Aware Navigation via Conformal Prediction (2605.16327)","2026-05-26","","Two papers this week explicitly use CVaR / risk measures inside the safety layer (CBF or differentiable optimization). Risk-aware formulations are an emerging method for trading off safety conservatism in learned controllers and tie directly to conformal-prediction-style risk control."
"Sim-to-real transfer","method","medium","mildly","suggested","Imitation learning, Reinforcement learning, Generalist policies","NavRL++ Sim-to-Real RL Navigation (2605.15559); Zero-Shot Sim-to-Real Dexterous Manipulation (2605.09789)","2026-05-26","","Recurring theme of analyzing sim-to-real gap design choices, distinct from policy/method papers. Tangential to verification but a frequent topic in alerts; may be worth tracking lightly."
"Mechanistic interpretability for VLAs","method","high","definitely","suggested","Verification of visuomotor policies, Vision-Language-Action models (VLAs), Latent-space safety analysis","Event-Grounded Sparse Autoencoders for VLA Policies (2605.17204)","2026-05-26","","Adapting mechanistic interpretability tools (sparse autoencoders, feature steering) from language models to VLAs. Directly relevant to verification of black-box visuomotor policies and to latent-space safety analysis. Currently a single strong paper but a growing thread worth tracking explicitly."
"Inference-time policy steering","method","high","probably","suggested","Verification of visuomotor policies, Diffusion models, Generalist policies","VERITAS (2606.18247); ViTaL/Inference-time Policy Steering via Vision and Touch (2606.14981); CTRL-STEER (2606.00269); UniIntervene (2606.12372)","2026-06-21","","Recurring this week: verifying/steering pre-trained generative policies at inference time (visual, tactile, activation-space, agentic intervention). Closely tied to verification of visuomotor policies and to Sumanths data-driven verification focus."
"Uncertainty quantification & failure detection for learned policies","method","high","probably","suggested","Conformal prediction, Verification of visuomotor policies, Adversarial robustness of robot policies, Runtime verification of learned policies","Uncertainty Quantification for Flow-Based VLA (2606.18043); SC3-Eval test-time consistency (2606.18610); Can Predicted Dynamics Exist (2606.00089)","2026-06-27","","Three papers this week build explicit uncertainty/failure-detection signals around learned policies (epistemic UQ for flow VLAs, self-consistency uncertainty for world-model evaluators, physical-admissibility checks). Distinct from conformal prediction per se; a recurring deployment-time verification theme worth tracking."
"Safety benchmarking for learned policies","method","medium","probably","suggested","Adversarial robustness of robot policies|Vision-Language-Action models (VLAs)|Verification of visuomotor policies","gupta-2026-vlas-fail (SafeContract black-box monitoring toolkit), cui-2026-libero-safety (LIBERO-Safety benchmark for VLA physical/semantic safety)","2026-07-04","2026-07-04","Emerging theme: dedicated benchmarks and toolkits for systematically evaluating safety properties of learned robot policies (VLAs, diffusion policies). Distinct from general adversarial robustness — focuses on standardized evaluation infrastructure."
